,geometry,class,bio_19_prec_coldest_quarter,bio_04_temp_seasonality,bio_02_mean_diurnal_range,bio_03_isothermality,bio_12_annual_prec,bio_15_prec_seasonality,bio_08_mean_temp_wettest_quarter,bio_13_prec_wettest_month,bio_17_prec_driest_quarter,bio_09_mean_temp_driest_quarter,bio_10_mean_temp_warmest_quarter,bio_01_annual_mean_temp,bio_14_prec_driest_month,bio_16_prec_wettest_quarter,bio_06_min_temp_coldest_month,bio_18_prec_warmest_quarter,bio_11_mean_temp_coldest_quarter,bio_05_max_temp_warmest_month,bio_07_temp_annual_range
1994,POINT (35.77540619005994 -1.091453070205219),0,98.0,95.758545,13.783333,81.07843,792.0,51.96088,17.8,138.0,86.0,15.816667,17.966667,17.016666,27.0,334.0,8.9,308.0,15.616667,25.9,17.0
1995,POINT (35.371164312206155 0.202120938926892),0,477.0,77.46945,12.116667,82.42631,1251.0,51.239388,14.783333,204.0,140.0,16.266666,16.733334,15.783333,35.0,477.0,9.2,291.0,14.783333,23.9,14.7
1996,POINT (35.45201268777691 -0.929756319063705),0,186.0,81.305626,12.866667,80.416664,1115.0,42.67667,17.066666,193.0,181.0,15.533334,17.483334,16.533333,49.0,445.0,9.0,274.0,15.433333,25.0,16.0
1997,POINT (36.826435072479775 -0.606362816780678),0,236.0,97.52623,12.283333,78.73932,1650.0,67.906685,15.483334,337.0,214.0,13.266666,15.616667,14.575,59.0,752.0,7.4,520.0,13.233334,23.0,15.6
1998,POINT (40.141218470880816 2.385027079337329),0,6.0,126.79618,10.316667,70.18141,336.0,112.44091,27.516666,99.0,6.0,25.116667,28.35,26.65,1.0,164.0,20.1,47.0,25.116667,34.8,14.699999
1999,POINT (35.20946756106464 2.385027079337329),0,149.0,60.532658,12.225,85.48952,450.0,54.11649,25.416666,72.0,44.0,25.216667,25.733334,24.9375,10.0,175.0,18.2,126.0,24.2,32.5,14.299999
2000,POINT (34.40098380535707 0.606362816780677),0,354.0,65.31247,12.208334,83.0499,1614.0,43.900303,22.333332,253.0,217.0,22.5,22.783333,21.920834,56.0,629.0,15.1,271.0,21.116667,29.8,14.699999
2001,POINT (39.65612821745627 3.274359210615655),0,8.0,146.46336,9.933333,66.66668,392.0,116.13087,25.400002,128.0,8.0,22.866667,26.633333,24.633333,2.0,214.0,18.2,51.0,22.866667,33.1,14.899998
2002,POINT (35.69455781448918 -0.040424187785379),0,344.0,63.39361,11.858334,82.34953,1105.0,49.647823,15.55,180.0,136.0,15.333333,15.683333,14.9375,34.0,397.0,8.3,300.0,14.1,22.7,14.400001
2003,POINT (40.54546034873459 -0.606362816780678),0,47.0,129.0877,8.783333,68.61979,394.0,79.46721,28.716667,90.0,40.0,26.0,29.15,27.6,4.0,167.0,21.7,125.0,25.883333,34.5,12.799999
2004,POINT (39.65612821745627 -0.687211192351434),0,17.0,129.30685,10.025,71.60714,397.0,102.60531,28.283333,105.0,17.0,26.3,29.583332,28.020834,5.0,202.0,21.5,138.0,26.3,35.5,14.0
2005,POINT (36.988131823621295 -0.28296931449765),0,98.0,70.43561,13.391666,77.85852,911.0,58.931328,17.283333,156.0,98.0,15.716667,17.283333,16.470833,27.0,358.0,8.0,358.0,15.716667,25.2,17.2
2006,POINT (37.715767203758105 -0.606362816780678),0,32.0,106.41097,10.258333,75.42892,1111.0,100.489105,20.366667,275.0,32.0,18.416666,21.0,19.9125,9.0,514.0,13.6,406.0,18.416666,27.2,13.6
2007,POINT (37.87746395489962 -0.929756319063705),0,6.0,116.452446,11.141666,73.78587,749.0,117.14188,22.35,226.0,6.0,20.216667,23.116667,21.879168,1.0,390.0,14.7,287.0,20.216667,29.8,15.099999
2008,POINT (40.62630872430535 1.091453070205218),0,16.0,124.87192,10.758333,72.20357,344.0,103.73874,28.433334,94.0,14.0,27.083332,30.116667,28.520834,4.0,160.0,21.8,128.0,26.983334,36.7,14.900002
2009,POINT (37.39237370147508 0.444666065639163),0,253.0,69.25331,14.291667,85.06944,702.0,88.64505,22.833334,158.0,29.0,22.683334,23.95,23.2125,9.0,305.0,15.2,259.0,22.533333,32.0,16.8
2010,POINT (39.00934121289021 -4.24453971746474),0,139.0,155.74602,9.3,66.42857,749.0,46.029644,25.45,110.0,118.0,26.083334,26.35,24.575,25.0,280.0,17.8,120.0,22.616667,31.8,14.0
2011,POINT (38.524250959465675 2.870117332761871),0,4.0,130.47699,9.7,69.28571,327.0,111.092476,26.483334,103.0,4.0,24.083334,27.45,25.716667,1.0,166.0,19.2,59.0,24.083334,33.2,14.0
2012,POINT (39.413583090744 -0.848907943492948),0,14.0,128.6733,10.0,71.42857,438.0,106.99646,27.8,124.0,14.0,25.666666,28.933332,27.425,3.0,238.0,20.8,144.0,25.666666,34.8,14.0
2013,POINT (38.12000908161189 -3.031814083903384),0,24.0,158.81427,10.2,68.0,595.0,87.662445,23.916668,130.0,24.0,20.916666,24.8,23.091667,6.0,263.0,16.0,135.0,20.916666,31.0,15.0
2014,POINT (38.20085745718265 -0.202120938926893),0,0.0,115.65031,11.4,74.99999,494.0,125.66051,25.383333,157.0,0.0,23.266666,26.133333,24.875,0.0,273.0,17.5,178.0,23.266666,32.7,15.200001
2015,POINT (35.53286106334767 4.001994590752467),0,44.0,72.764656,13.416667,84.91562,318.0,74.06213,27.466667,76.0,31.0,26.933334,28.266666,27.258333,8.0,159.0,19.7,73.0,26.433332,35.5,15.799999
