,lat,lon,Date,search_state,species,geometry
39,0.277717,36.379493,2020-03-03,Laikipia County,FAW,POINT (36.379493 0.277717)
40,0.465357,34.235507,2021-05-03,Busia County,FAW,POINT (34.235507 0.465357)
41,0.539806,34.220922,2019-05-16,Busia County,FAW,POINT (34.220922 0.539806)
42,-3.266117,40.047128,2021-05-26,Kilifi County,FAW,POINT (40.047128 -3.266117)
43,1.563338,35.383911,2019-10-18,West Pokot,FAW,POINT (35.383911 1.563338)
44,-1.14803,36.8007417,2019-11-14,Kiambu,FAW,POINT (36.8007417 -1.14803)
45,0.629064,34.330169,2019-05-28,Busia County,FAW,POINT (34.330169 0.629064)
46,0.9027378,34.9694373,2018-07-07,Trans-Nzoia County,FAW,POINT (34.9694373 0.9027378)
47,0.422932,34.266297,2019-08-15,Busia County,FAW,POINT (34.266297 0.422932)
48,0.8730617,34.8711783,2018-07-08,Trans-Nzoia County,FAW,POINT (34.8711783 0.8730617)
49,-3.225757,40.011545,2021-07-01,Kilifi County,FAW,POINT (40.011545 -3.225757)
50,-3.903322,39.720753,2021-03-03,Kilifi County,FAW,POINT (39.720753 -3.903322)
51,0.2846143,34.7535775,2018-04-05,Kakamega County,FAW,POINT (34.7535775 0.2846143)
52,0.452256,34.352027,2019-05-16,Busia County,FAW,POINT (34.352027 0.452256)
53,0.357372,34.26213,2021-10-19,Busia County,FAW,POINT (34.26213 0.357372)
54,0.1490446,36.272508,2018-08-08,Nakuru,FAW,POINT (36.272508 0.1490446)
55,1.0062866,35.0279743,2018-09-18,Trans-Nzoia County,FAW,POINT (35.0279743 1.0062866)
56,0.075945,35.745971,2021-11-30,Baringo,FAW,POINT (35.745971 0.075945)
57,-0.8499149,35.3971826,2018-07-06,Bomet,FAW,POINT (35.3971826 -0.8499149)
58,1.083059,34.8487923,2018-07-13,Trans-Nzoia County,FAW,POINT (34.8487923 1.083059)
59,0.742881,34.769073,2021-06-28,Bungoma County,FAW,POINT (34.769073 0.742881)
60,-3.332285,40.00566,2021-05-20,Kilifi County,FAW,POINT (40.00566 -3.332285)
61,-2.854301,40.149244,2022-06-27,Kilifi County,FAW,POINT (40.149244 -2.854301)
62,-3.354173,39.922783,2021-05-27,Kilifi County,FAW,POINT (39.922783 -3.354173)
63,0.9658551,35.0565393,2018-07-14,Trans-Nzoia County,FAW,POINT (35.0565393 0.9658551)
64,-0.460745,37.0088383,2018-04-26,Nyeri,FAW,POINT (37.0088383 -0.460745)
65,-1.1768867,36.8757767,2019-08-02,Kiambu,FAW,POINT (36.8757767 -1.1768867)
66,0.4488162,34.8515518,2018-04-17,Kakamega County,FAW,POINT (34.8515518 0.4488162)
67,0.7836838,34.8084243,2018-09-12,Bungoma County,FAW,POINT (34.8084243 0.7836838)
