,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1
623,POINT (35.17356691770139 -0.24794589152266),0,284.91587299770777,291.6516179798613,299.74665376875134,0.15664069796634345,81799.10831414584,-0.4254221660523999,-0.11430564910147546,0.16941365440927267,285.33515759993765,0.224932391383575,292.6523196956007
624,POINT (35.10694427997422 -0.541550331744816),0,286.15387047661676,292.39684803617496,300.1477189593845,0.15885772278978721,82933.02363581068,-0.3499852003620989,-0.11534703759631763,0.4316545646601735,286.8653633865654,0.41003574355151773,293.984584548198
625,POINT (35.39983028160726 -0.110995838882121),0,284.1498437457615,290.319006414201,298.2819595336914,0.25562311881978605,79788.86811656704,-0.8373264783822474,-0.10804427306478222,-0.22429265290424924,284.910517144388,0.42383496561265893,292.1996052631457
626,POINT (35.12821464500744 -0.504564250779291),0,286.15387047661676,292.39684803617496,300.1477189593845,0.15885772278978721,82933.02363581068,-0.3499852003620989,-0.11534703759631763,0.4316545646601735,286.8653633865654,0.41003574355151773,293.984584548198
627,POINT (35.57478221652578 -0.159002881702668),0,282.0897659725613,288.77808603360916,296.4266128540039,0.19218737794739632,77444.54825968246,-0.7172732337385097,-0.10265943741089562,-0.2688100775451236,282.97075509827755,0.41109186686599375,289.73140543258774
628,POINT (35.12256150937379 -0.492178494144403),0,286.15387047661676,292.39684803617496,300.1477189593845,0.15885772278978721,82933.02363581068,-0.3499852003620989,-0.11534703759631763,0.4316545646601735,286.8653633865654,0.41003574355151773,293.984584548198
629,POINT (35.381203654506415 -0.364276967354784),0,283.1352540122138,288.7969251926696,296.0149917602539,0.271689811382353,77651.56102042325,-0.7373727279975902,-0.1270808295553757,0.17254073721101973,283.7307744216457,0.43414789251859887,290.12206855730983
630,POINT (36.930911834327134 -0.942770854163211),0,282.82263967725964,290.04700854805964,297.614149623447,0.09226254293313585,82308.95081247261,-0.8290649831291754,-0.07697638528447391,-0.35162344009658536,285.65839757215576,0.4223702563359824,290.73477471689114
631,POINT (36.64465865360574 -1.15548682489869),0,284.2423967785305,290.523394585214,298.1459626091851,0.06511701050764285,80753.96323712064,-1.7482793113315727,-0.060474219182247504,-0.2893475004931589,284.19966839307716,0.3587904687819835,291.4488045684385
632,POINT (36.95341117073148 -1.095494278085083),0,285.27963564130994,292.444034289472,300.4431618584527,0.0730592892218725,84872.08476695296,-1.1814243400435178,-0.0692631898370261,-0.4994487293734775,286.30408645575716,0.2486142985113788,293.49689694062863
633,POINT (36.636129351331064 -1.163655157085419),0,284.2423967785305,290.523394585214,298.1459626091851,0.06511701050764285,80753.96323712064,-1.7482793113315727,-0.060474219182247504,-0.2893475004931589,284.19966839307716,0.3587904687819835,291.4488045684385
634,POINT (37.0741901451314 -1.055370577142267),0,285.5581574969822,292.7664018640837,300.7833185195923,0.07532417569548848,85280.28900828044,-1.0328320078637692,-0.07081740567486526,-0.4483709160107144,286.42012167226613,0.22620994317375212,294.88627231349614
635,POINT (36.988401622563714 -1.123770239644521),0,285.27963564130994,292.444034289472,300.4431618584527,0.0730592892218725,84872.08476695296,-1.1814243400435178,-0.0692631898370261,-0.4994487293734775,286.30408645575716,0.2486142985113788,293.49689694062863
636,POINT (37.09427446321507 -1.082636032018103),0,285.5581574969822,292.7664018640837,300.7833185195923,0.07532417569548848,85280.28900828044,-1.0328320078637692,-0.07081740567486526,-0.4483709160107144,286.42012167226613,0.22620994317375212,294.88627231349614
637,POINT (36.86910305875103 -1.022426778578865),0,284.35929436153833,291.05412415931056,298.83978780110675,0.08125004226374258,83360.74449338776,-1.0172003828169207,-0.07031478903566797,-0.4720407302678206,286.0281395383852,0.34149631703135647,291.77774661985575
638,POINT (37.1131557415618 -1.127730431589193),0,285.5581574969822,292.7664018640837,300.7833185195923,0.07532417569548848,85280.28900828044,-1.0328320078637692,-0.07081740567486526,-0.4483709160107144,286.42012167226613,0.22620994317375212,294.88627231349614
639,POINT (36.975593848407726 -1.161990492969051),0,285.93802483876544,292.61797209774727,300.449018796285,0.0627251234550373,84734.51749922025,-1.499497301150962,-0.06628818392831211,-0.4430882128475939,286.09963964752626,0.2466281691749428,294.676328259057
640,POINT (36.748453234146425 -1.226501612988551),0,284.86260265774195,291.3797165671107,299.10173426734076,0.06033576452930069,81716.95805381572,-1.8701887783763493,-0.05696169984164751,-0.3357121240266824,284.36505227297886,0.31347467564215714,292.4921112212814
641,POINT (36.69637859555998 -0.844167066927524),0,280.20223850674097,287.10068256457225,294.2337248060438,0.10876125466938776,76787.1843245936,-1.0047017487268968,-0.09163063620346495,0.10088285301690177,283.0515841578975,0.33302026548075175,287.98497901171135
642,POINT (36.667685177343365 -1.290685022749614),0,284.86260265774195,291.3797165671107,299.10173426734076,0.06033576452930069,81716.95805381572,-1.8701887783763493,-0.05696169984164751,-0.3357121240266824,284.36505227297886,0.31347467564215714,292.4921112212814
643,POINT (36.597458734494424 -0.843305889179804),0,279.67924976348877,286.74793135083763,293.770849969652,0.1134138765665322,75724.97047293237,-1.174845232758413,-0.08161142311938521,0.24992786381449916,282.49976988279053,0.3609573693281512,287.53988656368387
644,POINT (36.776110162837625 -1.21188016166742),0,284.2423967785305,290.523394585214,298.1459626091851,0.06511701050764285,80753.96323712064,-1.7482793113315727,-0.060474219182247504,-0.2893475004931589,284.19966839307716,0.3587904687819835,291.4488045684385
645,POINT (36.60292434234287 -1.237495266406204),0,285.04712125990125,291.5329955289578,299.33173253801135,0.06557884892274236,81632.54175024669,-1.8065031876271038,-0.06088983264311941,-0.18523800331650267,284.4204508962446,0.31222589653732374,292.84437839618937
646,POINT (36.95015726010541 -1.07819141667757),0,285.27963564130994,292.444034289472,300.4431618584527,0.0730592892218725,84872.08476695296,-1.1814243400435178,-0.0692631898370261,-0.4994487293734775,286.30408645575716,0.2486142985113788,293.49689694062863
647,POINT (37.047152055577456 -1.203802758028953),0,286.4316514333089,293.03503978560417,300.75717057122125,0.06489807830121082,85475.01799315758,-1.3444748230025154,-0.06025018257787451,-0.36367621464592675,286.5638616138834,0.25145951250854826,294.96691851184863
648,POINT (36.79240827672921 -0.894319633420534),0,281.72636625501843,289.0210043230598,296.52432399325903,0.09208334436258636,80451.88808207701,-0.9701627659210982,-0.07879550831340668,-0.23362430167094336,284.75945590760807,0.34783664013981075,289.75011144397115
649,POINT (36.87763823823528 -0.903163557532415),0,282.82263967725964,290.04700854805964,297.614149623447,0.09226254293313585,82308.95081247261,-0.8290649831291754,-0.07697638528447391,-0.35162344009658536,285.65839757215576,0.4223702563359824,290.73477471689114
650,POINT (37.02982031469112 -1.08854847499416),0,285.5581574969822,292.7664018640837,300.7833185195923,0.07532417569548848,85280.28900828044,-1.0328320078637692,-0.07081740567486526,-0.4483709160107144,286.42012167226613,0.22620994317375212,294.88627231349614
