,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1
316,POINT (38.20085745718265 -3.355207586186413),0,289.0520716773139,294.79896534593905,302.50033537546796,0.07065539064332144,89678.87094135935,-0.9878864017566307,-0.06698481512204227,0.9970214608450738,288.8554966854172,0.2172383976159632,297.50299022380096
317,POINT (38.443402583894915 0.040424187785378),0,294.2441818449232,300.33460844729314,307.84824615054663,0.03396498662555511,95950.77210761564,-0.8806179183707183,-0.0340642023883346,1.8898308482572181,289.84826860769493,0.1850615619426227,302.5674109023487
318,POINT (34.40098380535707 0.363817690068406),0,288.46675851609973,294.82593020358195,302.81846777598065,0.10313967100273531,87247.83580865643,-0.09058454932096205,-0.08808196610253718,0.012374538875421705,289.2456296967832,0.33819833525744475,295.42693281254884
319,POINT (36.34134481905524 -1.57654332362976),0,289.6452059215969,298.08318247867396,306.1964404847887,0.030530214125821614,89719.85864550801,-0.5860189453762457,-0.029963949061412778,0.6314610098123992,286.4290395165461,0.1508071638239372,300.42568714552965
320,POINT (38.12000908161189 2.385027079337329),0,292.1511649025811,298.16195400446105,305.0604888068305,0.030332108258283426,91636.80197335835,-2.8791589059498337,-0.02963691603185402,2.786010253860406,287.78260203500747,0.17263952638868071,300.52386192588835
321,POINT (34.562680556498584 0.929756319063705),0,282.39893955654566,288.4261612362064,295.4994380739,0.3630924540699287,76776.74146805616,-0.6222643526837112,-0.10398182212763156,-0.49995173226242673,283.3958075987655,0.4402403166587633,288.8460517024084
322,POINT (37.55407045261659 -2.142481952625059),0,288.8612045711941,295.6929491007161,303.7020896275838,0.05698431746031803,89733.42703688203,-1.7719150247352469,-0.05539030888919822,-0.005626815330500343,288.11717221149553,0.28928805296032406,297.3920041211081
323,POINT (40.868853851017626 -1.414846572488247),0,295.5394687652588,300.45746244000424,307.8051872253418,0.049568999426556584,100566.69361693313,-0.9991568748834675,-0.04787181409644998,2.0770383689351686,294.02381464762544,0.17462167812854273,302.7439784159539
324,POINT (34.80522568321086 0.282969314497649),0,286.4191772672865,293.75347270938937,301.93675274319116,0.1392625832333263,85619.94125883054,-0.2541406707782018,-0.1131381222512573,-0.03447977882292667,288.40728838041207,0.3580543269678697,294.6409693900579
325,POINT (39.332734715173245 1.414846572488246),0,295.34050443437366,301.6433717751705,308.60574107699927,0.026275878174347636,98148.96169233602,-2.2916616684365585,-0.02530220723322903,3.5860621406405833,290.4073521157815,0.1631250602216795,305.0414306821481
326,POINT (40.141218470880816 1.010604694634461),0,295.5062959459093,301.88001071023405,309.271517223782,0.024204739806462944,98949.10098324601,-1.5911069878894093,-0.023587751008259755,3.2243250111668114,291.10987165480674,0.13437582931411335,304.78686630800877
