,lat,lon,Date,search_state,species,Year,Month_of_year,YearMonth,Week_of_year,geometry
144,-0.2015921,34.8190985,15/02/2018,Kisumu County,FAW,2018,2,2018-02,7,POINT (34.8190985 -0.2015921)
145,0.1359984,34.0804772,20/03/2018,Busia County,FAW,2018,3,2018-03,12,POINT (34.0804772 0.1359984)
146,-1.4125,37.33193,03/04/2018,Machakos County,FAW,2018,4,2018-04,14,POINT (37.33193 -1.4125)
147,-1.372557,37.3474926,03/04/2018,Machakos County,FAW,2018,4,2018-04,14,POINT (37.3474926 -1.372557)
148,-1.23515,37.47248,04/04/2018,Machakos County,FAW,2018,4,2018-04,14,POINT (37.47248 -1.23515)
149,-0.354264243,37.66641602,13/04/2018,Tharaka-Nithi,FAW,2018,4,2018-04,15,POINT (37.66641602 -0.354264243)
150,-0.5465446,37.4492968,16/04/2018,Kirinyaga County,FAW,2018,4,2018-04,16,POINT (37.4492968 -0.5465446)
151,0.81863313,34.75862115,18/04/2018,Bungoma County,FAW,2018,4,2018-04,16,POINT (34.75862115 0.81863313)
152,-0.6912151,37.4880841,25/04/2018,Embu,FAW,2018,4,2018-04,17,POINT (37.4880841 -0.6912151)
153,-0.62385,37.298427,07/05/2018,Kirinyaga County,FAW,2018,5,2018-05,19,POINT (37.298427 -0.62385)
154,-0.46959,37.5062,08/05/2018,Embu,FAW,2018,5,2018-05,19,POINT (37.5062 -0.46959)
155,0.77076,34.75954,09/05/2018,Bungoma County,FAW,2018,5,2018-05,19,POINT (34.75954 0.77076)
156,-1.2721495,36.6749358,09/05/2018,Kiambu,FAW,2018,5,2018-05,19,POINT (36.6749358 -1.2721495)
157,0.8171735,34.8533356,21/05/2018,Bungoma County,FAW,2018,5,2018-05,21,POINT (34.8533356 0.8171735)
158,-0.4946665,37.4401164,22/05/2018,Embu,FAW,2018,5,2018-05,21,POINT (37.4401164 -0.4946665)
159,-0.68136,37.35478,25/05/2018,Kirinyaga County,FAW,2018,5,2018-05,21,POINT (37.35478 -0.68136)
160,-1.79007,36.0595,07/06/2018,Kajiado County,FAW,2018,6,2018-06,23,POINT (36.0595 -1.79007)
161,-3.039685,37.6842283,07/06/2018,Kajiado County,FAW,2018,6,2018-06,23,POINT (37.6842283 -3.039685)
162,-0.25034,36.11021,12/06/2018,Nakuru,FAW,2018,6,2018-06,24,POINT (36.11021 -0.25034)
163,-0.082103,36.180612,27/06/2018,Nakuru,FAW,2018,6,2018-06,26,POINT (36.180612 -0.082103)
164,-0.6591081,37.1154432,13/09/2018,Murang'a County,FAW,2018,9,2018-09,37,POINT (37.1154432 -0.6591081)
165,-0.56745,36.997,22/10/2018,Nyeri,FAW,2018,10,2018-10,43,POINT (36.997 -0.56745)
166,0.3690245,34.4907171,27/10/2018,Kakamega County,FAW,2018,10,2018-10,43,POINT (34.4907171 0.3690245)
167,-0.51128,37.47353,31/10/2018,Embu,FAW,2018,10,2018-10,44,POINT (37.47353 -0.51128)
