lat,lon,Date,search_state,species
0.535763,34.224197,2019-09-23,Busia County,FAW
0.449915,34.21546,2021-04-20,Busia County,FAW
-0.301704,36.074096,2019-12-18,Nakuru,FAW
0.422932,34.266297,2019-08-15,Busia County,FAW
-0.2852458,36.069697,2019-02-14,Nakuru,FAW
0.585278,34.247075,2019-05-21,Busia County,FAW
-1.2105044,36.8510081,2019-03-20,Nairobi County,FAW
0.412919,34.133361,2021-06-22,Busia County,FAW
0.583829,34.26234,2019-05-24,Busia County,FAW
0.4831488,37.6090933,2019-05-08,Meru County,FAW
0.544665,34.262594,2019-08-27,Busia County,FAW
0.541221,34.260381,2019-08-14,Busia County,FAW
0.499269,34.288866,2019-09-19,Busia County,FAW
0.462374,34.108853,2019-05-20,Busia County,FAW
0.797028,34.721413,2021-06-04,Bungoma County,FAW
0.526878,34.255532,2021-05-29,Busia County,FAW
0.499269,34.288866,2019-09-19,Busia County,FAW
0.499269,34.288866,2019-10-03,Busia County,FAW
0.568752,34.617714,2021-05-03,Bungoma County,FAW
-3.892211,39.772821,2021-05-20,Kilifi County,FAW
0.545664,34.266045,2021-05-19,Busia County,FAW
0.563753,34.52902,2021-04-28,Bungoma County,FAW
0.562,34.27845,2019-05-14,Busia County,FAW
0.545441,34.263172,2019-09-12,Busia County,FAW
0.536165,34.25831,2019-09-10,Busia County,FAW
0.43578,34.207309,2021-06-21,Busia County,FAW
0.499269,34.288866,2019-10-09,Busia County,FAW
0.499269,34.288866,2019-10-01,Busia County,FAW
-1.14803,36.8057417,2019-12-09,Kiambu,FAW
0.464798,34.102901,2019-08-14,Busia County,FAW
0.695431,34.383592,2019-08-30,Busia County,FAW
0.695431,34.383592,2019-08-30,Busia County,FAW
0.8730617,34.8711783,2018-07-08,Trans-Nzoia County,FAW
0.544665,34.262594,2019-09-02,Busia County,FAW
0.27626,34.131232,2021-04-19,Busia County,FAW
0.558348,34.385325,2021-06-02,Bungoma County,FAW
-3.225757,40.011545,2021-07-01,Kilifi County,FAW
0.544665,34.262594,2019-08-29,Busia County,FAW
-3.903322,39.720753,2021-03-03,Kilifi County,FAW
0.499269,34.288866,2019-09-25,Busia County,FAW
