,geometry,class,tavg,prec,tmax,tmin,vapr,wind
2048,POINT (38.36255420832416 1.091453070205218),0,26.050001,30.166666,32.016666,20.1,2.0325,2.6083333
2049,POINT (35.12861918549388 0.929756319063705),0,18.35,88.5,25.058334,11.658333,1.4883332,2.0833333
2050,POINT (34.88607405878161 -1.33399819691749),0,17.941666,113.166664,23.699999,12.174999,1.4549999,2.3583333
2051,POINT (40.868853851017626 1.414846572488246),0,28.433332,31.166666,33.933334,22.891665,2.261667,2.8166668
2052,POINT (41.51564085558368 3.597752712898683),0,27.933334,22.333334,33.916664,21.966667,2.0933332,2.5083334
2053,POINT (37.23067695033356 2.6275722060496),0,26.758333,19.5,32.691666,20.791666,1.9975001,2.2999997
2054,POINT (38.92849283731946 -1.899936825912788),0,26.04167,53.916668,30.800001,21.283335,2.2225,2.525
2055,POINT (35.20946756106464 4.891326722030794),0,26.908333,62.75,33.733334,20.1,2.1483333,2.0333333
2056,POINT (39.89867334416854 3.436055961757169),0,24.716667,29.583334,29.641668,19.791666,1.8883334,2.5583332
2057,POINT (35.61370943891843 0.52551444120992),0,23.58333,70.75,30.591665,16.566668,1.7491665,2.3666666
2058,POINT (36.179648067913725 -0.687211192351434),0,14.249999,77.5,20.433334,8.033334,1.2358333,2.4833333
2059,POINT (37.634918828187345 -1.010604694634462),0,21.408333,60.916668,27.183334,15.633332,1.7325001,2.9833333
2060,POINT (36.50304157019675 -1.819088450342031),0,21.916666,42.25,27.858332,15.991666,1.6808335,2.9083335
2061,POINT (35.93710294120145 -0.363817690068406),0,15.808334,79.583336,22.824999,8.783334,1.2708333,2.2166665
2062,POINT (39.09018958846097 0.929756319063705),0,27.441666,25.583334,33.15,21.741669,2.1450002,2.1750002
2063,POINT (35.12861918549388 1.091453070205218),0,17.958334,88.083336,24.591667,11.308334,1.4591666,2.1083333
2064,POINT (40.54546034873459 0.282969314497649),0,28.550003,28.916666,33.825,23.299997,2.34,2.7583332
2065,POINT (38.92849283731946 -3.193510835044899),0,25.091667,71.416664,30.316668,19.883333,2.2158334,2.575
2066,POINT (37.14982857476281 -0.768059567922191),0,20.158333,93.916664,26.016668,14.299999,1.6408333,2.9083335
2067,POINT (36.826435072479775 -0.52551444120992),0,14.066667,130.75,19.933332,8.183332,1.2716666,2.5083334
2068,POINT (39.65612821745627 1.253149821346732),0,27.800001,25.0,33.124996,22.491669,2.1333334,2.6083336
2069,POINT (35.85625456563069 0.606362816780677),0,20.541666,76.416664,27.025002,14.058333,1.5525001,2.2583334
2070,POINT (34.643528932069344 0.282969314497649),0,21.216665,150.66667,27.391665,15.033334,1.7433333,2.4
2071,POINT (37.95831233047038 -0.444666065639163),0,23.508333,47.583332,28.84167,18.158335,1.9741668,2.6499999
2072,POINT (34.1584386786448 0.282969314497649),0,21.858332,140.58333,27.666664,16.033333,1.8658336,2.4750001
2073,POINT (35.53286106334767 -0.202120938926893),0,17.175001,99.166664,23.766668,10.608334,1.3391666,2.5416663
2074,POINT (37.79661557932886 -3.597752712898684),0,23.550001,46.416668,29.283333,17.8,1.9783331,3.1083333
