,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1,split
692,POINT (39.860361087781314 3.280322510027351),0,292.47336186303033,298.8676093557323,306.0840554767185,0.036549564474069034,93579.83660151334,-1.237643648347373,-0.03528633218957111,2.183524946393161,288.1384872742182,0.13288799955181058,301.8994953123213,train
693,POINT (34.385839581059635 3.891832705598905),0,292.43108134799536,299.27636437675176,306.787714322408,0.04340859810129764,90514.16680456737,-1.5527507580828444,-0.04361723653144307,0.8109222834722335,287.0458179889374,0.08141100072123432,302.6258498647426,train
694,POINT (34.6775661878318 -0.965007742087905),0,287.7220966551039,293.31340471027175,301.09619013468426,0.14434029262545336,84704.53067105866,-0.7538727298231827,-0.0971936200059847,0.14228956985974367,287.9880999225076,0.34307507795781006,294.08613326968805,train
695,POINT (35.17701004589318 3.894285602973157),0,295.0863955815633,302.20295142752076,309.2353761461046,0.03907702472300293,94358.32561623628,-3.3551187612435687,-0.03837332069330538,1.5480180150923966,288.9063828792472,0.05585921358423317,305.91616530469787,train
696,POINT (40.3133800970589 2.544775792928912),0,293.4958851072523,299.7313899241066,306.80554474724664,0.03485868050852711,95186.94614985156,-1.3399609664601206,-0.0330564425740805,2.406435585746023,289.1376906081962,0.24483121687200773,302.55856484215906,train
697,POINT (36.42795280362762 0.722205396219939),0,286.2598459455702,292.9611082465969,300.77057955000134,0.07367519270868066,82346.6635097481,-1.6069806646696347,-0.07058641511765826,0.33064361469761233,284.2858241485852,0.21399104382321718,296.0223967752372,train
698,POINT (39.82255248506208 -2.002660638278307),0,295.358690155877,300.7132220297867,308.4173509809706,0.03315087063477399,100240.01353691155,-1.2099374073868607,-0.03288225312199858,2.5330142116628394,293.36832937970377,0.14703764875243672,303.7842040121039,train
699,POINT (41.47457273667357 3.857448493347944),0,294.0508933597141,301.0322820152732,308.2187254163954,0.032183078709900004,96215.03710688055,-0.14427956256673136,-0.027938233132267162,2.2569909427380743,288.4235806459306,0.11769376248500422,304.2582038929105,train
700,POINT (40.17209633554005 -1.123718871404454),0,295.6486060884264,301.1882275085961,308.9233471552531,0.028826066678093162,100027.10672931725,-1.2202636577896067,-0.028393050015438348,2.844239130933585,292.8415575671804,0.18862768609301195,304.2141911834964,train
701,POINT (35.043943686967694 2.727440850440439),0,293.1075377994114,300.2597957333244,307.5313076443142,0.041087177967355934,92102.48696077155,-1.5051976322964642,-0.04004969427801876,-0.5330959096757991,288.413042113963,0.1072907568678366,303.3738440967212,train
702,POINT (37.592299737798484 -1.055297707069564),0,288.44495635562475,294.50951744103173,301.9791774749756,0.06507146764372086,87626.11088680086,-1.0737905673315604,-0.0571867786671242,0.8301898767630602,287.36462786120353,0.2562930239799603,296.4089331155597,train
703,POINT (39.278792037569005 -0.373875228680074),0,294.5602795283,300.59178320808695,308.3020484712389,0.026015573256041893,97557.49155071362,-1.3596493458186627,-0.025316268923537184,3.2262874914938346,290.88213484041626,0.13742068891903825,303.63592691213114,train
704,POINT (40.72183378912621 -0.62412940595184),0,295.52176592085095,301.0656840189006,308.97690455118817,0.02879213926932178,99883.53226051363,-1.2418469458078087,-0.028443599785936788,2.7258163459179396,292.89954073067423,0.1546854680657289,303.68023917833193,train
705,POINT (37.434841437958475 2.624945381168628),0,295.1825170516968,302.43644358690756,309.6470980114407,0.0238061019760797,95995.1356672351,-3.120065145782275,-0.0230335325985733,3.11246890940493,288.7106809311799,0.04649604468402257,306.3547620556967,train
706,POINT (36.31862472214163 -1.28009802840564),0,286.1509970559014,294.71722293298285,302.9359415902032,0.04526592927913827,85635.31349742011,-1.1543403797614595,-0.04391372295665658,0.6535091714930319,285.64889630622497,0.17448162553452268,296.9658424515503,train
707,POINT (35.31081512584268 1.597545876794086),0,285.0302454630534,292.6221300984349,299.88419977823895,0.10567106086379252,81958.00010357049,-0.7818485016550334,-0.07542368594375956,-0.24333765463577292,283.23671943629523,0.1673149984008321,293.77271056924405,train
708,POINT (38.86074191591645 2.230463241030836),0,294.87927383846704,301.3494825812016,308.3679785198635,0.028797056238594607,97024.80528732987,-2.8180527877674484,-0.028342322349393118,3.1628467414488157,289.71417438678486,0.16832006422724657,304.799433597,train
709,POINT (38.80365938210478 -0.782245267691025),0,293.89106845855713,299.69529549414426,307.4643653233846,0.03490683350744475,96089.30526817845,-1.052997800300394,-0.03430750318673543,2.3295396678207534,290.3294311615302,0.1789431326246884,302.09308884901196,train
710,POINT (40.31667264001864 1.66213554037403),0,295.3561103608873,301.7194067275905,308.9096096886529,0.026816419297118605,98445.40335373794,-1.7756896954804684,-0.025953022970093623,3.0262416190447077,290.67956678063126,0.1467862916135559,304.647781714804,train
711,POINT (39.860361087781314 3.280322510027351),0,292.47336186303033,298.8676093557323,306.0840554767185,0.036549564474069034,93579.83660151334,-1.237643648347373,-0.03528633218957111,2.183524946393161,288.1384872742182,0.13288799955181058,301.8994953123213,train
712,POINT (34.59887457078793 -0.990826182712537),0,287.70026302337646,293.28928040104563,301.2124546898736,0.1446282796068254,84568.98068698762,-0.8741201797379676,-0.10650995671878466,0.1392369533472767,287.88850401233753,0.32264627749497937,294.54764414723206,train
713,POINT (40.283082412867934 -1.15988017329628),0,295.6031319300334,301.05746870397525,308.8126285341051,0.03241839479480481,100225.74694121105,-1.1738437534768833,-0.03198073017281584,2.6323428855823985,293.185312852217,0.145268453909463,304.13926403004837,train
714,POINT (40.64979313041729 -1.736905050891794),0,295.795666164822,300.51432797730195,307.6418795055813,0.04910343002974287,100697.8633200494,-1.0205037585525172,-0.04724417068064213,2.2659870516105993,294.0850875705066,0.1826522517738856,302.80037164465904,train
715,POINT (38.91574822197245 1.194629254089902),0,295.606026119656,302.05493614470225,309.2234378390842,0.02331313462132509,98227.59198314199,-2.5373350173192466,-0.02305451809661463,3.6176590910358875,290.223392544129,0.12379120827923035,304.9818043695511,train
716,POINT (36.71592219832325 2.898143046786629),0,297.1672559314304,303.34043470546914,309.34102217356366,0.023582518744710044,96166.36889714042,-4.167256975158226,-0.0759019398311567,1.782451824284527,290.02165658331035,0.034890207685163835,306.9990919190247,train
717,POINT (39.61685243827116 3.008069084566896),0,292.706978585985,299.23561407051767,306.36642752753363,0.03989528142569094,94206.73414780224,-1.6572850796454146,-0.03889249222508321,2.2791058440745333,288.5076173783927,0.1380329740796107,302.1556534052974,train
718,POINT (37.85175357335 -1.612401636862228),0,289.86123784383136,295.8331837230497,303.4527988433838,0.06665634521419103,90518.46905769008,-1.3068964203341071,-0.058320327015179724,0.852309277599502,288.8012755937814,0.30463350946667217,297.5880768502717,train
719,POINT (40.25182166492583 -0.538022406241907),0,295.46984100341797,301.2489615208544,308.9663089116414,0.022966309991058,99512.71341045742,-1.3871669786504228,-0.022731749825955678,3.3315273766204903,292.30824675901505,0.1555356021732004,305.3194224080383,train
720,POINT (39.08391131602602 -4.107150811248372),0,294.05154758029516,298.25711254577794,305.1566632588704,0.06580042370523971,98340.31791780336,-0.6839730286299082,-0.06120833621955373,1.653865103312793,293.4730181793185,0.23233159232177425,300.15551691336765,train
721,POINT (37.38035893863774 2.691748835938045),0,294.9521641201443,302.3403725975132,309.55778715345593,0.022645536626288914,95732.26230768261,-2.931622353317272,-0.022005603157190815,3.0527786794960186,288.28642526372204,0.06216548701570433,306.2983008782775,train
722,POINT (36.39813974083364 3.8326204152735),0,297.03596931033667,303.54151426902354,310.6187271542019,0.02873670425919323,96046.63625877413,-5.114918665646125,-0.028423004266288545,2.6782275010785974,289.14801112900966,0.04144403488147567,307.27459361077604,train
723,POINT (38.75558955506847 -0.962759040567966),0,294.11311637030707,299.7432257229936,307.3970545662774,0.03437958753182784,96304.89651600987,-1.0562681942215655,-0.03393910959776905,2.220127572569577,290.5545284447992,0.19416763842118376,302.0103733752155,train
724,POINT (39.51164510141447 -4.149157034249517),0,295.1381040149265,298.767948204776,303.8783360587226,0.09183843229205373,99596.59341315007,-0.6627371295150039,-0.0852045987202372,1.9113141392446253,294.51362816065813,0.24825255811985386,301.2117254859843,train
725,POINT (38.75994288060285 2.996088017272343),0,293.9529039594862,300.3649483164588,307.69662210676404,0.030595787927418572,95073.31410209561,-2.6673561669953814,-0.030086727360159986,2.438006540903489,288.6418375119483,0.13434371302142548,303.1204648210799,train
726,POINT (35.955565321361206 3.240449348103226),0,296.81495677100287,302.85419910155156,308.42866696251764,0.027082390847629596,95917.6777077411,-4.081655123358235,-0.029669220837402262,1.3835590956789607,290.23672706513594,0.04366411046792588,306.78901570945027,train
727,POINT (37.59199839054975 -1.64923448878491),0,287.7616606818305,294.42333367179083,302.13499461279974,0.06175429210720091,88126.90060415656,-1.3710758864368857,-0.0603068660129793,0.5446891718010514,287.5541621587342,0.2130025242475838,296.04556889005033,train
728,POINT (34.94017969082531 -0.607816922807328),0,285.275337960985,291.57790069499663,299.303314420912,0.16931401852550734,81879.35031791455,-0.4661285173021184,-0.12310229068518513,0.3283235084024252,286.34460273211414,0.4248549057380867,292.6896177132459,train
729,POINT (38.99335689794494 1.329820742385489),0,295.5697971979777,301.9939847686136,309.0589655770196,0.024188520409904872,98352.95513346179,-2.5242714517221905,-0.02381616668491107,3.675487809350037,290.32229651912235,0.12280770845934381,304.5915591098867,train
730,POINT (36.28203868177207 -1.311787939850621),0,286.1509970559014,294.71722293298285,302.9359415902032,0.04526592927913827,85635.31349742011,-1.1543403797614595,-0.04391372295665658,0.6535091714930319,285.64889630622497,0.17448162553452268,296.9658424515503,train
731,POINT (39.216553946245725 2.449125630276872),0,294.20478916168213,300.63836444760136,307.78789043426514,0.029547569830708657,96320.53261939564,-2.0865014947632083,-0.02919944076307325,2.572755802492797,289.38781487331084,0.14706530876333546,303.1906395330664,train
732,POINT (39.661561930490265 2.097247293060708),0,294.7853772905138,301.1408098088788,308.1123210059272,0.027310409192319998,97414.43075835776,-2.020426348257098,-0.02645323002555718,3.0140296243828817,290.01579886626786,0.16317515654326561,304.58896632423904,train
733,POINT (37.75441211488323 1.954559971639391),0,293.94298956129285,300.65666187220614,307.9650689231025,0.024791837072117087,94779.93875874866,-4.01185251666924,-0.024059622445040278,2.671692794628892,288.9448601073266,0.15735292759611952,304.4719460946785,train
734,POINT (36.08554314177171 1.739136662064411),0,294.603805647956,301.99202983079545,309.62278599209253,0.046513662179221336,93309.50777286215,-1.679135001818046,-0.04207556260128816,-0.0620158819875163,288.03945407313546,0.06499406325637566,307.0883479423462,train
735,POINT (36.41170332216507 0.458798868337805),0,284.2898820241292,291.3979157120763,299.12102699279785,0.10670115630278285,80797.2509632416,-1.535106360322619,-0.08842881636357763,0.2740663018513172,284.0741874599134,0.35130807557018673,294.2223964898861,train
