,thindist,background,climate,sensitivity,specificity,auc_checker,auc_ext,condition,gridsize
0,thinned9km,bg1uniform,era5land,0.5416666666666666,0.9131329765335529,0.8944467316225242,0.9100629881582264,thinned9km_bg1uniform_era5land,0.4
0,thinned9km,bg1uniform,era5yearmonthly,0.8194444444444444,0.9715932482503088,0.9466401354009424,0.9738123250436124,thinned9km_bg1uniform_era5yearmonthly,0.4
0,thinned9km,bg1uniform,wcbioclim,0.5833333333333334,0.9182517199514366,0.8832906155852331,0.9676733438473428,thinned9km_bg1uniform_wcbioclim,0.4
0,thinned9km,bg1uniform,wcmonthly,1.0,0.9745042492917848,0.9985638967579477,0.9959748605324484,thinned9km_bg1uniform_wcmonthly,0.4
0,thinned9km,bg1uniform,wcmonthlybg,0.625,0.887494941319304,0.8920589954584288,0.9093362835330212,thinned9km_bg1uniform_wcmonthlybg,0.4
0,thinned9km,bg2lai,era5land,0.5,0.8828720417168071,0.8437681062530641,0.8655631141345428,thinned9km_bg2lai_era5land,0.4
0,thinned9km,bg2lai,era5yearmonthly,0.8333333333333334,0.9638989169675092,0.9535365690600348,0.8966945920727007,thinned9km_bg2lai_era5yearmonthly,0.4
0,thinned9km,bg2lai,wcbioclim,0.5416666666666666,0.8926848874598071,0.8546020900321544,0.9279162645450336,thinned9km_bg2lai_wcbioclim,0.4
0,thinned9km,bg2lai,wcmonthly,1.0,0.9790996784565916,0.9987774651661308,0.994946998407206,thinned9km_bg2lai_wcmonthly,0.4
0,thinned9km,bg2lai,wcmonthlybg,0.625,0.8167202572347267,0.8534018846016436,0.875503142433444,thinned9km_bg2lai_wcmonthlybg,0.4
0,thinned9km,bg3meanA3yr,era5land,0.6376811594202898,0.6547717842323652,0.6723404895062841,0.6839153439153438,thinned9km_bg3meanA3yr_era5land,0.4
0,thinned9km,bg3meanA3yr,era5yearmonthly,0.7971014492753623,0.9547717842323652,0.9003397678753984,0.9199713984340134,thinned9km_bg3meanA3yr_era5yearmonthly,0.4
0,thinned9km,bg3meanA3yr,wcbioclim,0.6376811594202898,0.6405737704918033,0.6704531955333808,0.7575814639581322,thinned9km_bg3meanA3yr_wcbioclim,0.4
0,thinned9km,bg3meanA3yr,wcmonthly,1.0,0.9622950819672133,0.997624138750297,0.9888818272407004,thinned9km_bg3meanA3yr_wcmonthly,0.4
0,thinned9km,bg3meanA3yr,wcmonthlybg,0.8260869565217391,0.4540983606557377,0.65857982893799,0.4685952812497548,thinned9km_bg3meanA3yr_wcmonthlybg,0.4
0,thinned3km,bg1uniform,era5land,0.4036144578313253,0.9482470784641068,0.9026791640686284,0.9218039808516,thinned3km_bg1uniform_era5land,0.5
0,thinned3km,bg1uniform,era5yearmonthly,0.8242424242424242,0.9674457429048414,0.9590909090909092,0.9789748062801736,thinned3km_bg1uniform_era5yearmonthly,0.5
0,thinned3km,bg1uniform,wcbioclim,0.6204819277108434,0.9328144203195412,0.9170582370448612,0.9407998493515052,thinned3km_bg1uniform_wcbioclim,0.5
0,thinned3km,bg1uniform,wcmonthly,0.993975903614458,0.9811552642359688,0.9996569646056572,0.9999450760696436,thinned3km_bg1uniform_wcmonthly,0.5
0,thinned3km,bg1uniform,wcmonthlybg,0.7228915662650602,0.9070053256861942,0.9238769909626214,0.9168844008191512,thinned3km_bg1uniform_wcmonthlybg,0.5
0,thinned3km,bg2lai,era5land,0.4444444444444444,0.9073569482288828,0.8587613447788409,0.8518014613252708,thinned3km_bg2lai_era5land,0.5
0,thinned3km,bg2lai,era5yearmonthly,0.788235294117647,0.9536784741144414,0.9283172669612804,0.9622195626597428,thinned3km_bg2lai_era5yearmonthly,0.5
0,thinned3km,bg2lai,wcbioclim,0.5964912280701754,0.9138737334372564,0.8839046824648006,0.9313176250892512,thinned3km_bg2lai_wcbioclim,0.5
0,thinned3km,bg2lai,wcmonthly,0.9941520467836256,0.9816835541699144,0.9988559343278955,0.9994036830418442,thinned3km_bg2lai_wcmonthly,0.5
0,thinned3km,bg2lai,wcmonthlybg,0.672514619883041,0.8390491036632892,0.8670331323241853,0.8950835236055207,thinned3km_bg2lai_wcmonthlybg,0.5
0,thinned3km,bg3meanA3yr,era5land,0.3248407643312102,0.8288100208768268,0.6393255588207918,0.6726480221718317,thinned3km_bg3meanA3yr_era5land,0.5
0,thinned3km,bg3meanA3yr,era5yearmonthly,0.8141025641025641,0.8676409185803757,0.8776885605695626,0.8936518722869081,thinned3km_bg3meanA3yr_era5yearmonthly,0.5
0,thinned3km,bg3meanA3yr,wcbioclim,0.5923566878980892,0.7618654560462237,0.7323605258523018,0.770017811045987,thinned3km_bg3meanA3yr_wcbioclim,0.5
0,thinned3km,bg3meanA3yr,wcmonthly,0.9936305732484076,0.964919521254643,0.9990746850117374,0.9999058446908176,thinned3km_bg3meanA3yr_wcmonthly,0.5
0,thinned3km,bg3meanA3yr,wcmonthlybg,0.6305732484076433,0.5843995047461824,0.6440718065460779,0.7084480851163995,thinned3km_bg3meanA3yr_wcmonthlybg,0.5
0,thinned5km,bg1uniform,era5land,0.5416666666666666,0.9152754590984976,0.8969584724540902,0.9206752330561854,thinned5km_bg1uniform_era5land,0.5
0,thinned5km,bg1uniform,era5yearmonthly,0.865546218487395,0.9561769616026712,0.9643418302212372,0.9705566148728144,thinned5km_bg1uniform_era5yearmonthly,0.5
0,thinned5km,bg1uniform,wcbioclim,0.6916666666666667,0.9098730028676772,0.9136624334289224,0.9512667812222928,thinned5km_bg1uniform_wcbioclim,0.5
0,thinned5km,bg1uniform,wcmonthly,0.9916666666666668,0.9758295780417862,0.9996483681551276,0.9998901521392872,thinned5km_bg1uniform_wcmonthly,0.5
0,thinned5km,bg1uniform,wcmonthlybg,0.7666666666666667,0.8897992625972961,0.919394373890482,0.9148914467747884,thinned5km_bg1uniform_wcmonthlybg,0.5
0,thinned5km,bg2lai,era5land,0.5725806451612904,0.8672635266640716,0.8502822109770338,0.8553993449231544,thinned5km_bg2lai_era5land,0.5
0,thinned5km,bg2lai,era5yearmonthly,0.7804878048780488,0.9439470611132736,0.9277786744391384,0.9647653048805224,thinned5km_bg2lai_era5yearmonthly,0.5
0,thinned5km,bg2lai,wcbioclim,0.6451612903225806,0.8893219017926735,0.8779605511276494,0.9343933651892128,thinned5km_bg2lai_wcbioclim,0.5
0,thinned5km,bg2lai,wcmonthly,0.9919354838709676,0.9773967264224472,0.9994688607849546,0.9993173740084268,thinned5km_bg2lai_wcmonthly,0.5
0,thinned5km,bg2lai,wcmonthlybg,0.7661290322580645,0.8152766952455183,0.8623940864405502,0.8877237169377555,thinned5km_bg2lai_wcmonthlybg,0.5
0,thinned5km,bg3meanA3yr,era5land,0.4210526315789473,0.6931106471816284,0.6151576749807713,0.6724414210128495,thinned5km_bg3meanA3yr_era5land,0.5
0,thinned5km,bg3meanA3yr,era5yearmonthly,0.8584070796460177,0.8651356993736952,0.8753043767435846,0.9119386181995212,thinned5km_bg3meanA3yr_era5yearmonthly,0.5
0,thinned5km,bg3meanA3yr,wcbioclim,0.6228070175438597,0.669830788278993,0.7145991267893216,0.7750158887084245,thinned5km_bg3meanA3yr_wcbioclim,0.5
0,thinned5km,bg3meanA3yr,wcmonthly,1.0,0.9620305406520842,0.9999601769591128,0.999882305863522,thinned5km_bg3meanA3yr_wcmonthly,0.5
