,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
596,POINT (37.444842022574306 -1.496273611094279),0,20.916666,57.916668,26.499998,15.308334,1.6899999,2.8166666,train
597,POINT (37.86561542063773 -2.772587052899607),0,21.591665,62.166668,27.241667,15.958333,1.8291665,3.091667,train
598,POINT (36.77891629341813 3.132329024824593),0,27.775,16.083334,33.966663,21.591665,2.0108335,2.1416667,train
599,POINT (38.594334067094074 -1.760749642873581),0,25.183329,53.0,29.950003,20.408333,2.1200001,2.6583333,train
600,POINT (35.06142470713004 2.838728458068979),0,26.891668,32.916668,33.716667,20.066668,1.9583334,2.275,train
601,POINT (40.09529891073571 3.730161843622446),0,25.066666,26.333334,30.433334,19.691666,1.9216663,2.6333332,train
602,POINT (36.02575558491216 0.054289754356833),0,19.083334,81.0,26.358335,11.791667,1.4741665,2.2416666,train
603,POINT (38.281846188332594 -2.238753846869129),0,24.15,52.833332,29.074999,19.250002,2.0608332,2.7250001,train
604,POINT (36.28088632226822 -0.299765976223958),0,13.966667,80.916664,20.583332,7.3750005,1.1908333,2.2500002,train
605,POINT (36.72451646735627 2.98654706140114),0,27.324999,16.333334,33.600002,21.075,1.9616666,2.0916665,train
606,POINT (40.67573553177128 2.969689560796065),0,26.725,26.5,32.26667,21.199999,2.0458333,2.825,train
607,POINT (39.647983031690174 -3.985382649239699),0,26.291666,90.0,30.391668,22.224998,2.6425002,3.6500003,train
608,POINT (39.59207343763688 -2.612287249120348),0,25.925001,60.333332,30.21667,21.666666,2.36,2.625,train
609,POINT (39.51164510141447 -4.149157034249517),0,25.483332,94.666664,29.733332,21.216667,2.5408332,3.1000001,train
610,POINT (37.256781047711996 2.886483787130428),0,27.641668,21.083334,34.124996,21.166666,2.045,2.2583334,train
611,POINT (38.75575666272554 -0.633162698942007),0,24.900003,42.833332,29.783333,20.000002,2.0874999,2.3666666,train
612,POINT (37.592299737798484 -1.055297707069564),0,21.533333,59.75,27.349998,15.724999,1.7383333,2.9583333,train
613,POINT (40.154059270258706 -0.119055571515103),0,28.358332,28.0,33.44167,23.291664,2.3258333,2.6,train
