,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1,split
222,POINT (36.988131823621295 -2.061633577054302),0,286.961111386617,293.44916589455875,301.4158004124959,0.05210467513062188,85367.16196156087,-2.144308981208235,-0.0507647824447809,-0.01073941215624939,286.252417635797,0.20541453586388725,295.7023210505381,train
223,POINT (37.47322207704583 -1.33399819691749),0,287.9031212064955,294.35672407315616,302.0566185845269,0.0557705052945279,87492.69749889652,-1.2175017795103,-0.053097035735845566,0.672104280492768,287.18828302583137,0.20669877362835054,296.50960633008316,train
224,POINT (34.40098380535707 0.444666065639163),0,288.46675851609973,294.82593020358195,302.81846777598065,0.10313967100273531,87247.83580865643,-0.09058454932096205,-0.08808196610253718,0.012374538875421705,289.2456296967832,0.33819833525744475,295.42693281254884,train
225,POINT (37.87746395489962 -0.929756319063705),0,290.49782265557184,296.41948365206576,303.94870493147107,0.06140455885305301,90786.03040023825,-1.0095040813253746,-0.05613580776844174,1.1280047723442688,288.8127464721628,0.2850755161631845,298.19576988329294,train
226,POINT (37.715767203758105 0.040424187785378),0,287.9541736178928,293.93252356001557,301.11195214589435,0.061293407935559374,87319.72015410506,-0.805242019881567,-0.0549027748250713,1.189592252901881,287.1931254605797,0.28530845453711834,294.9499058559842,train
227,POINT (38.443402583894915 0.606362816780677),0,293.56198226081,299.6502052161325,307.03379895952014,0.02682747797659002,94331.65590777648,-1.6256221551567795,-0.026364192036756624,3.0429081550741213,288.81531281737006,0.16219630423471704,302.055546658812,train
228,POINT (35.04777080992313 0.687211192351434),0,284.142885737949,291.5365245047001,299.3861482408312,0.09858564786438441,81539.71057873747,-0.9553294540655676,-0.08912644995790389,-0.39864833012761625,284.3043817774714,0.279069843835891,293.04072956639675,train
229,POINT (38.76679608617795 3.274359210615655),0,292.52987575531006,299.4154437026983,306.9486477110121,0.03476267124041215,93889.96556960705,-2.4944836204719847,-0.034034236353666834,1.8713612335592475,287.96972296219707,0.1273831468463096,302.53321486629585,train
230,POINT (35.20946756106464 1.657391699200517),0,288.26350116729736,295.39082941921714,302.9717493057251,0.07339687156212954,85381.52824451485,-0.9085594045574678,-0.06733232454603745,-0.5479069735972703,285.28994868761976,0.24157390817853822,297.6369000811292,train
231,POINT (40.22206684645157 -2.38502707933733),0,296.1357361475627,300.2211210440431,306.3450762430827,0.054811001416205984,101074.27163276452,-0.965548000353775,-0.055643707843652614,2.3592280212316052,294.7350465455198,0.20037308538849669,302.1626042774834,train
232,POINT (35.53286106334767 -1.819088450342031),0,284.7372346454197,290.81828012609986,298.18474758995904,0.12870771176317627,80561.06096129766,-1.9276670718409825,-0.08942530901145397,0.5389261439110522,284.5597999744484,0.2838776637222081,291.90126093567494,train
233,POINT (36.907283448050535 -0.848907943492948),0,281.90201144748266,289.1820650062366,296.5852111180623,0.1036927674403551,81345.72622371807,-0.6900848744938775,-0.08029818657087162,-0.19316433208292547,285.3456733514464,0.43562995426462564,289.6954743404811,train
234,POINT (36.74558669690902 1.333998196917489),0,286.5383586883545,292.8362231374628,299.9152367909749,0.06128219067254956,82590.20145009659,-1.776144701958102,-0.05730314209358767,0.3850888410989805,284.41982628965695,0.23114685259465834,295.4573023928622,train
235,POINT (34.481832180927825 -1.091453070205219),0,288.144170443217,294.2403733591744,302.3198694652981,0.12788640477209584,85894.65706397154,-0.7464213077790648,-0.11162290808796468,-0.019982451600126655,288.44181433280687,0.28825189381310423,295.2978524148821,train
236,POINT (37.14982857476281 -0.121272563356135),0,282.1444483862983,288.7974341023933,295.8216152191162,0.24511214301436446,79096.11565759356,-0.480337709283646,-0.09697748495576282,0.9374796388815005,284.45211165738874,0.42675412751135056,290.5691522246113,train
237,POINT (35.04777080992313 2.6275722060496),0,292.4554855558607,300.1028566608416,307.5907682842678,0.04919461323601632,91933.18745024274,-1.398886926259472,-0.04883002608160799,-0.5660781103953618,288.4579086106089,0.09373220987461788,302.4877372869838,train
