,geometry,class,bio_19_prec_coldest_quarter,bio_04_temp_seasonality,bio_02_mean_diurnal_range,bio_03_isothermality,bio_12_annual_prec,bio_15_prec_seasonality,bio_08_mean_temp_wettest_quarter,bio_13_prec_wettest_month,bio_17_prec_driest_quarter,bio_09_mean_temp_driest_quarter,bio_10_mean_temp_warmest_quarter,bio_01_annual_mean_temp,bio_14_prec_driest_month,bio_16_prec_wettest_quarter,bio_06_min_temp_coldest_month,bio_18_prec_warmest_quarter,bio_11_mean_temp_coldest_quarter,bio_05_max_temp_warmest_month,bio_07_temp_annual_range,split
1383,POINT (36.314464935900006 1.914552582121607),0,60.0,61.938408,14.083333,88.020836,328.0,63.499695,26.666666,71.0,46.0,25.433332,26.666666,25.85,9.0,151.0,17.8,151.0,25.166666,33.8,16.0,test
1384,POINT (38.10026262899475 -3.637112089377696),0,25.0,169.6833,11.233334,69.34157,643.0,77.68245,23.216667,115.0,25.0,20.233334,24.333334,22.466667,6.0,278.0,14.7,186.0,20.233334,30.9,16.2,test
1385,POINT (35.69622818217205 3.639861589756779),0,34.0,61.063816,13.533334,87.31183,238.0,73.648994,29.183334,56.0,21.0,28.683332,29.550001,28.833334,5.0,118.0,21.3,55.0,28.116667,36.8,15.5,test
1386,POINT (39.55423388715977 0.740571585729131),0,4.0,96.227135,11.591667,76.766,310.0,127.1441,29.166666,108.0,4.0,26.966667,29.383333,28.2375,1.0,146.0,21.3,140.0,26.966667,36.4,15.100002,test
1387,POINT (38.56604101453186 -0.358328664061732),0,0.0,116.00027,10.333333,73.809525,476.0,133.08598,24.983334,172.0,0.0,22.933332,25.816666,24.533333,0.0,293.0,17.8,155.0,22.933332,31.8,14.0,test
1388,POINT (35.4854694341798 3.352456483022952),0,48.0,56.867413,13.375,88.57615,249.0,67.06185,29.233334,56.0,30.0,28.8,29.4,28.804167,8.0,120.0,21.3,98.0,28.183334,36.4,15.100002,test
1389,POINT (39.8754974151297 2.61297275825179),0,5.0,131.7769,10.283334,69.48198,324.0,116.93361,27.283333,100.0,5.0,24.866667,28.25,26.466667,1.0,163.0,19.9,43.0,24.866667,34.7,14.800001,test
1390,POINT (36.8412181125172 -2.285793817671839),0,12.0,136.49843,11.316667,71.174,560.0,81.54796,21.216667,122.0,9.0,18.766666,21.8,20.4,1.0,265.0,12.9,253.0,18.416666,28.8,15.9,test
1391,POINT (39.140559510992354 -2.671987834302129),0,77.0,139.60713,10.083333,70.023155,814.0,66.646484,26.483334,143.0,77.0,24.216667,27.616667,26.058332,24.0,337.0,19.2,248.0,24.216667,33.6,14.399998,test
1392,POINT (35.055451749687634 1.041279555798377),0,382.0,92.231384,13.441667,79.53649,1071.0,52.42707,17.316668,153.0,92.0,19.133333,19.55,18.404167,20.0,398.0,10.9,126.0,17.283333,27.8,16.9,test
1393,POINT (38.13104605157721 1.104543361936856),0,0.0,78.66669,11.458333,80.69248,372.0,122.73516,25.05,111.0,0.0,24.15,26.083332,25.129166,0.0,180.0,18.3,161.0,24.15,32.5,14.200001,test
1394,POINT (36.142766750213504 0.141493814185123),0,297.0,65.90139,14.808333,83.19289,985.0,42.833107,19.35,146.0,120.0,19.366667,19.95,19.070833,28.0,346.0,10.6,249.0,18.266666,28.4,17.8,test
1395,POINT (39.76206916959947 -1.557880885732808),0,62.0,138.1918,9.150001,67.2794,492.0,65.72464,27.55,94.0,62.0,25.333332,28.716667,27.166666,8.0,208.0,20.8,134.0,25.333332,34.4,13.600002,test
1396,POINT (39.55802738920903 2.556780615563971),0,3.0,131.22383,10.866667,70.56278,318.0,117.826546,27.383333,99.0,3.0,24.966667,28.316666,26.566668,0.0,158.0,19.7,45.0,24.966667,35.1,15.399998,test
1397,POINT (36.12139440809572 0.148993497922007),0,281.0,64.35432,14.658333,83.7619,950.0,42.18032,20.15,143.0,116.0,20.083334,20.683334,19.8375,26.0,332.0,11.5,248.0,19.066668,29.0,17.5,test
1398,POINT (36.18413998148622 0.300421007713151),0,309.0,64.748924,13.366667,83.02277,976.0,47.54316,17.066666,149.0,115.0,17.0,17.566668,16.733334,32.0,353.0,9.1,239.0,15.900001,25.2,16.1,test
1399,POINT (38.85397842388637 1.753218451635648),0,0.0,96.06164,11.291666,76.29504,304.0,128.51686,27.816666,104.0,0.0,25.783333,28.166668,27.0125,0.0,148.0,20.1,147.0,25.783333,34.9,14.800001,test
