ID,Date,Region,Sub region,Country,District,Village,lat,long,FAW Confirmed count,FAW Suspected count,FAW Confirmed + Suspected count,Other species count
8221,2022-08-12,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Plateaux Region,6.88248,0.645398,7,1,8,3
8225,2022-08-12,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Plateaux Region,6.882502,0.64537,6,2,8,1
8226,2022-08-12,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Plateaux Region,6.882502,0.645371,,,,
823,2019-06-26,Africa,Sub-Saharan Africa,Zimbabwe,null,Zimbabwe,-20.212064,28.58197,,,,
8232,2022-08-12,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Plateaux Region,6.882239,0.645347,,,,
8235,2022-08-14,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Plateaux Region,6.882497,0.645375,2,1,3,
8236,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.508305,1.153614,5,3,8,5
8237,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.509746,1.152988,2,2,4,3
8238,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.508316,1.153611,3,1,4,2
8239,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.508303,1.15362,3,1,4,2
824,2019-06-26,Africa,Sub-Saharan Africa,Zimbabwe,null,Zimbabwe,-20.212082,28.581941,,,,
8240,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.508326,1.15345,3,4,7,5
8241,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.508301,1.153613,12,8,20,1
8243,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.508329,1.153601,2,,2,1
8245,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.508314,1.153589,12,8,20,2
8248,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.508299,1.15361,4,2,6,
8249,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.508329,1.153589,5,3,8,2
825,2019-06-26,Africa,Sub-Saharan Africa,Zimbabwe,null,Zimbabwe,-20.21207,28.581942,,,,
8250,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.508367,1.153561,,,,
8251,2022-08-15,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.508334,1.153598,4,2,6,1
8252,2022-08-16,Africa,Sub-Saharan Africa,Burkina Faso,,,10.323557,-3.175299,,,,
8254,2022-08-17,Asia,Western Asia,Lebanon,Beqaa Governorate,Beqaa Governorate,33.818186,35.96269,8,1,9,
8255,2022-08-17,Africa,Sub-Saharan Africa,Burkina Faso,,,10.530611,-3.232439,,,,
8256,2022-08-17,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.563536,0.959519,13,3,16,
8257,2022-08-17,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.564192,0.97206,5,2,7,1
826,2019-06-26,Africa,Sub-Saharan Africa,Zimbabwe,null,Zimbabwe,-20.212064,28.581968,,,,
8260,2022-08-17,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.565935,0.96131,3,1,4,
8261,2022-08-17,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.563536,0.959519,5,2,7,1
8262,2022-08-17,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.563868,0.963997,4,3,7,2
8264,2022-08-17,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.565252,0.959817,5,3,8,1
8265,2022-08-17,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.56491,0.95922,5,2,7,
8266,2022-08-17,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.564222,0.959817,,,,
8268,2022-08-17,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.563868,0.963997,,,,
8270,2022-08-17,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.563868,0.963997,10,10,20,9
8275,2022-08-17,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.565252,0.959817,17,20,37,15
8277,2022-08-18,Africa,Sub-Saharan Africa,Zambia,Eastern Province,Chipata,-13.620433,32.62439,,,,
8278,2022-08-18,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Atakpamé,7.514597,1.150147,14,8,22,2
8280,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.54041,1.196024,2,4,6,2
8281,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.540407,1.196007,5,1,6,3
8283,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.540386,1.19603,4,2,6,3
8284,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.54041,1.196005,3,2,5,2
8285,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.540408,1.196022,3,5,8,2
8286,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.549981,1.200189,5,2,7,3
8287,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.540411,1.196004,3,4,7,1
8288,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.540406,1.196026,5,3,8,4
829,2019-06-26,Africa,Sub-Saharan Africa,Uganda,Central Region,Jinja,0.458331,33.178929,,,,
8290,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.539753,1.196364,,,,
8292,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.540405,1.196027,25,12,37,10
8294,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.540413,1.196025,3,1,4,1
8295,2022-08-19,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara,9.54508,1.196802,,,,
8297,2022-08-19,Africa,Sub-Saharan Africa,Togo,Maritime Region,Maritime Region,6.227041,1.176369,,,,
8299,2022-08-20,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.349415,1.012876,7,,7,
83,2019-05-15,Africa,Sub-Saharan Africa,Ethiopia,Amhara,Bahir Dar,11.60367,37.369201,,,,
830,2019-06-26,Africa,Sub-Saharan Africa,Uganda,Central Region,Jinja,0.458331,33.178929,,,,
8300,2022-08-20,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara Region,9.410125,1.225802,,,,
831,2019-06-27,Africa,Sub-Saharan Africa,Zimbabwe,,Zimbabwe,-20.212034,28.58197,,,,
8315,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865344,0.214013,23,13,36,2
8316,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865343,0.214017,4,2,6,7
8318,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865344,0.214016,12,5,17,10
8319,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865344,0.214014,8,4,12,2
832,2019-06-27,Africa,Sub-Saharan Africa,Zimbabwe,,Zimbabwe,-20.212034,28.58197,,,,
8321,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865345,0.214015,6,3,9,2
8324,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865343,0.21401,2,4,6,7
8326,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865346,0.214015,8,2,10,3
8327,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865343,0.214031,2,1,3,
8328,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865344,0.214014,,,,
