,geometry,class,tavg,prec,tmax,tmin,vapr,wind
1413,POINT (34.24198040734797 -1.096382229306326),0,22.016668,96.0,27.933334,16.108334,1.8008332,2.4250004
1414,POINT (34.374317653270694 -0.888060997260809),0,21.841667,105.583336,27.725,15.958335,1.8183333,2.4083335
1415,POINT (34.48592724996976 -0.931743430492673),0,20.824999,118.083336,26.633333,15.016666,1.7108335,2.4916666
1416,POINT (34.163106540757056 -0.937521576774305),0,22.525,88.833336,27.949999,17.125,1.8975,2.4
1417,POINT (34.500047216163914 -1.185455497442948),0,20.699999,119.166664,26.499998,14.891665,1.6816669,2.4833333
1418,POINT (34.52251990844821 -0.860384955901691),0,21.025,119.666664,26.9,15.166667,1.7383333,2.4833336
1419,POINT (34.15759728358422 -0.973563619111471),0,22.466667,91.083336,27.941666,17.008333,1.8766665,2.3833334
1420,POINT (34.5201292194986 -0.88524572131688),0,20.841665,120.75,26.724998,14.991666,1.7208332,2.4916668
1421,POINT (34.32368083312513 -1.140176270715013),0,21.358335,109.833336,27.216667,15.508334,1.7366667,2.4416666
1422,POINT (34.171836064152366 -0.834087006262379),0,22.650002,94.916664,28.59167,16.725,1.8883333,2.3833334
1423,POINT (34.595733061800786 -0.743395661864309),0,20.758333,131.58333,26.608332,14.900001,1.6983333,2.5166667
1424,POINT (34.09138028777689 -0.787661096589935),0,22.20833,92.916664,27.349998,17.033335,1.8541665,2.3833332
1425,POINT (34.567736066383 -1.241173212696747),0,20.241667,119.666664,26.041666,14.441666,1.6425,2.4666667
1426,POINT (34.22719890149719 -1.010897633040492),0,22.591665,88.75,28.650002,16.5,1.8641666,2.3750002
1427,POINT (34.57638906985124 -0.732134464325286),0,20.908333,126.583336,26.791664,15.025001,1.7166667,2.5416667
1428,POINT (34.434557881499515 -0.993226433079618),0,20.925001,118.0,26.699999,15.141667,1.7166668,2.3999999
1429,POINT (34.54458698824064 -1.216890387043598),0,20.491667,117.583336,26.291666,14.6833315,1.6633334,2.4750001
1430,POINT (34.59413555691182 -0.879388576126333),0,20.391665,128.58333,26.191666,14.575001,1.665,2.466667
1431,POINT (34.32938941855129 -0.914788031436109),0,21.958334,101.25,27.875,16.083334,1.8316668,2.45
1432,POINT (34.227658920321055 -0.893758978938774),0,22.591667,91.833336,28.591665,16.591665,1.8874999,2.4083333
1433,POINT (34.26787936586108 -0.986026252434036),0,22.358332,92.916664,28.4,16.349998,1.8583332,2.425
1434,POINT (34.39314056286319 -0.864342751572281),0,21.65,109.333336,27.550003,15.783333,1.7975,2.425
1435,POINT (34.41652287410731 -1.037482755215857),0,21.358335,109.083336,27.183332,15.5666685,1.7675,2.5
1436,POINT (34.122063633279105 -1.00199717499566),0,22.708334,85.333336,27.983335,17.416666,1.8983334,2.3583333
1437,POINT (34.450889990168676 -0.924437128720146),0,21.025002,116.083336,26.866667,15.191666,1.7291666,2.5083334
1438,POINT (34.2038298968461 -0.866959327202895),0,22.449999,96.25,28.125002,16.741667,1.8883333,2.325
1439,POINT (34.36972027946873 -0.971911952134621),0,21.233332,110.75,27.049997,15.425,1.7425,2.4333336
1440,POINT (34.54996489515322 -0.70620642279213),0,21.266665,119.0,27.241667,15.316666,1.7583333,2.5249999
1441,POINT (34.447622990035676 -0.857362266465126),0,21.391665,116.583336,27.241667,15.525002,1.7674999,2.45
1442,POINT (34.56850637510064 -0.807651483072432),0,21.108334,123.5,26.941668,15.25,1.7400001,2.5416667
1443,POINT (34.50505033425407 -0.985742543344946),0,20.916668,117.5,26.71667,15.116668,1.7274998,2.5083334
1444,POINT (34.47808558227457 -1.182437122027273),0,20.658335,121.916664,26.449997,14.883331,1.6741667,2.4666667
1445,POINT (34.439699815248396 -1.154273224093168),0,21.075,117.916664,26.891665,15.299998,1.7183334,2.4166667
1446,POINT (34.7005691537106 -1.279857233232918),0,19.758333,119.416664,25.625,13.833333,1.5966668,2.4833333
1447,POINT (34.30900367898781 -1.03313253816816),0,21.908333,98.583336,27.75,16.033335,1.815,2.4833333
1448,POINT (34.57851541328203 -1.027261930101476),0,20.425001,119.5,26.308332,14.591667,1.6741666,2.466667
1449,POINT (34.4963137788732 -1.144336707447253),0,20.900002,117.666664,26.741669,15.0666685,1.7083331,2.5083334
1450,POINT (34.27365031949502 -0.848896239699292),0,21.991669,102.333336,28.083334,15.900002,1.8091668,2.4416668
1451,POINT (34.52160747781648 -1.177848216448559),0,20.775,115.583336,26.6,14.950001,1.6933331,2.45
1452,POINT (34.477004113142925 -0.985182338459385),0,20.516668,122.083336,26.275,14.766666,1.6741668,2.4416666
1453,POINT (34.69774012126226 -1.305404490615701),0,19.349998,122.916664,25.225,13.45,1.5641667,2.4416666
1454,POINT (34.64642450739728 -1.282842771378471),0,20.033335,119.583336,25.85,14.175,1.6199999,2.45
1455,POINT (34.441118400303225 -1.141839528402347),0,21.099998,116.666664,26.924997,15.291665,1.7233334,2.4333334
1456,POINT (34.50254745348895 -0.838677168930671),0,21.308332,116.833336,27.166666,15.441667,1.7641668,2.5083332
1457,POINT (34.301038262972014 -0.885738385492363),0,21.916666,103.0,27.916666,15.933334,1.8058333,2.4666667
1458,POINT (34.39396484042743 -0.910007861595464),0,21.683334,109.416664,27.541664,15.825,1.8024999,2.4333334
1459,POINT (34.596624467973776 -1.167038207519239),0,20.641666,113.333336,26.541664,14.8,1.6891667,2.4666667
1460,POINT (34.154097438671855 -0.978734693514145),0,22.558334,90.5,28.133333,17.016666,1.8841666,2.4
1461,POINT (34.43925239354931 -0.860545015642483),0,21.441668,115.916664,27.316666,15.600001,1.7774998,2.4833333
1462,POINT (36.821047954139736 -0.847040322670767),0,15.699998,141.25,21.766665,9.65,1.3499999,2.5583334
1463,POINT (37.18295391557182 -0.874676897203278),0,20.066668,84.5,25.841667,14.274999,1.6274999,2.9166667
1464,POINT (36.85747261354625 -0.875843178065544),0,16.908333,132.33333,22.891665,10.925002,1.4041667,2.6499999
1465,POINT (36.92959579401746 -0.619203482597141),0,16.725,131.91667,22.758333,10.683333,1.4074999,2.7333333
1466,POINT (36.755609728260495 -0.792413498720973),0,13.583333,147.83333,19.108334,8.016667,1.2616668,2.425
1467,POINT (37.04685470753453 -0.722303397989501),0,18.583334,121.083336,24.324997,12.833333,1.5258335,2.7250001
1468,POINT (37.160758437776686 -0.884655882475163),0,19.941668,83.75,25.75,14.125001,1.6166667,2.9083335
1469,POINT (37.098351837364035 -0.739651813463042),0,19.475,102.583336,25.225,13.716666,1.5933334,2.8833332
1470,POINT (36.72433981393772 -0.635807006302311),0,8.541667,132.91667,13.516666,3.5833337,1.0033334,1.6583333
1471,POINT (36.943318294772446 -0.843764627639261),0,17.85,126.583336,23.666666,12.033334,1.4625001,2.7916667
1472,POINT (37.13658036880168 -0.847924637191545),0,19.941668,88.666664,25.750002,14.149999,1.6166667,2.9000003
1473,POINT (36.99841635855885 -0.607853454109916),0,17.483332,120.083336,23.299997,11.650001,1.4583334,2.6083333
1474,POINT (36.99590135909736 -0.72948138613998),0,18.25,123.666664,24.083334,12.424999,1.5033332,2.7583332
1475,POINT (37.181056678941054 -0.870569404806207),0,20.066668,84.5,25.841667,14.274999,1.6274999,2.9166667
1476,POINT (37.00036605384338 -0.896675825292481),0,18.9,107.916664,24.558334,13.233334,1.5116667,2.8583333
