,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
2040,POINT (37.61513540667648 -2.151225166730334),0,22.29166603088379,52.5,28.09166717529297,16.46666717529297,1.8333333730697632,3.0416667461395264,test
2041,POINT (38.529301652711865 3.149525343471667),0,25.850000381469727,29.83333396911621,31.350000381469727,20.350000381469727,1.9525002241134644,2.433333158493042,test
2042,POINT (34.99623007172232 0.556067678914829),0,18.491666793823242,110.41666412353516,24.783334732055664,12.166666984558105,1.497499942779541,2.108333110809326,test
2043,POINT (40.33244855102264 0.139146677889743),0,28.65833282470703,30.5,34.05833053588867,23.258331298828125,2.3283333778381348,2.625,test
2044,POINT (38.34857213741235 -3.725141423640064),0,22.741666793823242,56.83333206176758,28.116666793823242,17.366666793823242,2.002500057220459,3.0416669845581055,test
2045,POINT (38.46250105465489 -2.649748434109708),0,24.333330154418945,68.75,29.475000381469727,19.15833282470703,2.0799999237060547,2.6500003337860107,test
2046,POINT (36.415060452289595 3.080655372060306),0,28.25,22.83333396911621,33.641666412353516,22.833330154418945,2.067499876022339,1.9916664361953735,test
2047,POINT (38.90896279695838 -2.260763311455957),0,25.808332443237305,59.33333206176758,30.566667556762695,21.033336639404297,2.2233331203460693,2.5916664600372314,test
2048,POINT (40.88125905361826 -1.251901594602715),0,27.316667556762695,44.33333206176758,31.308332443237305,23.316665649414062,2.5258333683013916,2.9583332538604736,test
2049,POINT (39.671968830283355 -3.47569973585895),0,25.141664505004883,71.83333587646484,29.32499885559082,20.966665267944336,2.4666664600372314,3.0333330631256104,test
2050,POINT (37.448303515354915 -2.654192920857961),0,21.55000114440918,62.33333206176758,28.058332443237305,15.033333778381348,1.7599997520446777,3.125000238418579,test
2051,POINT (38.08542622380388 -0.079531806228831),0,23.58333396911621,48.0,29.108335494995117,18.07499885559082,1.9658331871032715,2.6583335399627686,test
2052,POINT (40.65832552050762 3.864162793489494),0,24.58333396911621,25.75,30.191665649414062,18.983333587646484,1.8808335065841675,2.5166666507720947,test
2053,POINT (37.59731785043313 0.814875520104285),0,23.116666793823242,42.41666793823242,29.441667556762695,16.808332443237305,1.7983335256576538,2.933333396911621,test
2054,POINT (38.0985924195093 0.235059670937154),0,23.091665267944336,55.0,28.683334350585938,17.474998474121094,1.9016666412353516,2.566666841506958,test
2055,POINT (40.21141690460677 -1.708540495816548),0,27.391664505004883,48.41666793823242,31.825002670288086,22.95833396911621,2.49916672706604,2.5250000953674316,test
2056,POINT (37.614935201554474 0.786031606424964),0,23.441667556762695,40.5,29.96666717529297,16.933332443237305,1.8116668462753296,2.8249998092651367,test
2057,POINT (36.890651897898934 -0.501052160806776),0,16.100000381469727,114.33333587646484,22.34166717529297,9.84999942779541,1.3791667222976685,2.566666603088379,test
2058,POINT (36.76873683604213 -1.339140874700488),0,19.058332443237305,80.41666412353516,24.816665649414062,13.333333015441895,1.4516664743423462,2.883333444595337,test
2059,POINT (41.12652991054108 -2.086493839815604),0,27.183332443237305,74.0,30.39166831970215,23.975000381469727,2.751666784286499,4.333333492279053,test
2060,POINT (39.913975776643746 2.842922531514517),0,25.58333396911621,27.91666603088379,30.833330154418945,20.316665649414062,1.9508334398269653,2.5916666984558105,test
2061,POINT (34.23286448262283 -0.835093660883596),0,22.149999618530273,98.33333587646484,28.26666831970215,16.04166603088379,1.8166667222976685,2.3916666507720947,test
2062,POINT (38.10026262899475 -3.637112089377696),0,22.45833396911621,53.58333206176758,28.08333396911621,16.850000381469727,1.9458333253860474,3.125000238418579,test
2063,POINT (37.468981691723165 3.062307662275535),0,27.233335494995117,17.25,32.77500534057617,21.691667556762695,2.0383336544036865,2.450000047683716,test
